comment,author_display_name,comment_like_count
Your voice is heart touching,@user-tz4fe1ho9g,0
I love his voice.....nd songs too....❤❤❤❤,@Funetutorial79,0
❤❤❤❤❤,@user-ij1mz4sk1k,0
Nice 👍,@ankitapandey7336,0
I love his voice❤,@kshitijatorase8750,1
Superb voice 🌹🌹🌹🌹🌹,@brouto5602,0
Melody at its best😍,@rahuldeka8370,0
"Melodious voice bhai,",@user-yt2gb7co9q,2
You are the best🎉🎉❤❤,@komalsoni619,0
Nice songs,@pranjalangre7113,0
"I have just discovered you, Sanam❤  it is the first time i heard your album by luck!!! I am glad that I did!!! Your music is so refreshing and your voice touches the soul!! Can't stop listening!!! Your music makes me so happy ❤ God bless you all, Sanam!!!!",@RoshanYoutube-fp1es,12
😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,@rkpuran690,0
When I was 5years old   I have only listened Sanam songs only,@rkpuran690,0
My favourite singer!!!!!! Sanam oh wow! 🎉🎉🎉🎉🎉🎉,@rkpuran690,0
I love your songs ❤️❤️❤️,@priyobratachakraborty3377,0
Wow what a voice❤,@balkrishnagore1329,0
Awesome song choice...,@Swapnil_liverpool,0
He is awasam,@ujjalpaul3603,0
Vcvnz,@morsedmonjur,0
Apko support kardia hai please return kardijie,@nippinsonmarak3572,0
Dipu Kumar Nic...... Song,@diponkordas9419,0
Super ❤,@dastumegalamani7322,0
Mind blowing❤️💋🥰,@tanujadurgavale9672,0
❤❤❤❤ sab bhailog mastho ❤❤❤❤👌,@bipindubey3282,1
Wow nice 🌹🌹🌹🌹🌹,@user-iy9zo7nl2z,0
Wow nice Songs Sanam,@user-iy9zo7nl2z,0
Favourite playlist ❤,@medicomayur108,0
"old song is golden song.❤
best of luck sanam puri
go ahead ❤❤",@babyboy-gc8vv,1
👌👍,@sangeetarawat8070,1
Love u Sanam,@SandhyaKumariGupta-sm4fr,1
😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,@ajanajain196,0
I am listening this song in every travel 😅❤,@Marwadaanju,1
"Hey, you have very cute smile. Not only you entire team. I heard your voice on FB accidentally. Suddenly I found you again on U tube. Im glad I found you. Your song choice is awesome.",@user-uy3tp7eb5i,1
Simply i love this man❤,@SanjuktaDutta-cd4br,1
Only one hour can change your mind,@advaytripathi3245,1
